AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Zero
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Analyst Expectations,Expected LTG,-0.0276995850300044,-3.90493727812348
Price Momentum,5 Day Price Reversal,-0.0307766737272188,-1.83313804645533
Analyst Expectations,Analyst Earnings Estimate Diffusion,0.0449642507115188,3.30787200574379
Earnings Quality,Cash Conversion Cycle,-0.0504078929988603,-9.17622716021849
Price Momentum,Price Momentum,0.0544806651698558,3.40219214593815
Price Momentum,1M Price Reversal,-0.0574713717153096,-3.56653600525837
Price Momentum,1M Price High - 1M Price Low,-0.0611730869785196,-4.14789232795524
Historical Growth,1Y Chg in Sales Turnover,-0.0661013199147486,-7.02604585024534
Capital Efficiency,Long Term Debt to Equity Ratio,0.0872557977958935,26.0740091710382
Analyst Expectations,Number of EPS FY1 Revisions,0.107212234645934,6.37684149815971

Correlation (Factors)
,Analyst Expectations,Price Momentum,Analyst Expectations,Earnings Quality,Price Momentum,Price Momentum,Price Momentum,Historical Growth,Capital Efficiency,Analyst Expectations
Date,Expected LTG,5 Day Price Reversal,Analyst Earnings Estimate Diffusion,Cash Conversion Cycle,Price Momentum,1M Price Reversal,1M Price High - 1M Price Low,1Y Chg in Sales Turnover,Long Term Debt to Equity Ratio,Number of EPS FY1 Revisions
2014-12-31,-0.0291628045306965,0.0860560806432472,0.00137642678397906,-0.0856982435914958,0.120010418640573,0.0122440110508672,-0.0511440464961805,-0.0796832858410396,0.0486795907125568,0.0750671364957141
2015-01-31,-0.037948451281792,0.0343064510312047,0.00753468894601661,-0.0913112864882205,0.14000487438977,0.0269502339847945,0.0351210919290308,-0.0769166569091619,0.0402299680592286,0.00315255013591368
2015-02-28,-0.0401598860144982,-0.0152870257425401,-0.0100053155260762,-0.076417814910347,0.0778493128351008,0.0194184521728047,-0.038542730164586,-0.0838274795927344,0.0289112985774691,-0.00372400652424548
2015-03-31,-0.0451054401319672,-0.136789483222105,0.0939472123784377,-0.0773468592017982,-0.0553101117620659,-0.161214528050306,-0.20052707948731,-0.103312621746692,0.0532797013516639,0.0637758742005753
2015-04-30,-0.0303802934333451,-0.101214838222346,0.0170812084479244,-0.0695942321682011,0.0827845910117848,0.0193273447539657,0.0197017845748769,-0.109983452146442,0.041214241812696,0.0591616747667183
2015-05-31,-0.0479839486574411,0.0201474828365917,-0.0109965742946766,-0.0498048061059668,0.119612662578164,-0.0515604998459656,-0.0171927240853577,-0.106287489540836,0.0436420077598316,0.00215685545631575
2015-06-30,-0.048266756501032,-0.205339116106955,0.00997948009841849,-0.0445013765582606,-0.0296391494930118,-0.11531936854279,-0.162210517724352,-0.104880891621864,0.0367073191065603,0.0227734159622857
2015-07-31,-0.0370899039713542,-0.0986676866552071,0.00880928330005075,-0.0460057506178274,0.00945120424710467,-0.123347121028147,-0.107638355910751,-0.0997762172526209,0.0267722613316574,0.0225953676197251
2015-08-31,-0.0341800056010413,0.159778453730376,0.0224076890856589,-0.0538676088830866,0.127967056565369,-0.0701418105126194,0.0299585905798921,-0.132179082327986,0.0210798733770296,0.0431577850063971
2015-09-30,-0.0388866835651308,-0.26278546164107,-0.00517296870509993,-0.06434795489688,-0.145241446710727,-0.252383143691442,-0.234969845977183,-0.141019303623273,0.0189567190043675,0.0392927328818466
2015-10-31,-0.0140502550299472,-0.0745271863652332,0.0210828321327799,-0.0474390020973406,0.0519453631095633,-0.0167280344029115,-0.135576431083743,-0.133044940257065,0.0203503289635556,0.0181851317188013
2015-11-30,-0.00901638538013562,0.155177040587352,0.00324057003201092,-0.0334460833317348,0.180458680240504,-0.00766514258483305,-0.108630852880939,-0.103419483144258,0.0221780916982862,0.0228023603709048
2015-12-31,-0.0221591562326995,-0.117999299131104,-0.000800512444455397,-0.0218715257791742,0.127390035448955,-0.0471300726049144,0.0378142036544889,-0.0902474701698088,0.0273633866989257,0.00921744099968317
2016-01-31,-0.0275755195269503,-0.187670468204246,-0.0423356331972302,-0.020244742845706,-0.0138462582135653,-0.228790447743717,-0.161279196169377,-0.088633372036273,0.03051014330749,-0.0432704748889765
2016-02-29,-0.0540783843161872,0.0270153333217376,0.0143342808775343,-0.00651834225790058,0.188979247489582,-0.0294769853231451,-0.0275283126662199,-0.0749535664669621,0.0303627465990405,-0.0291028086539972
2016-03-31,-0.0912000826153403,0.120442986792021,0.00973277449654382,0.0167534370531358,0.24953950513569,0.116582830526881,-0.120577762922728,-0.0577545187248775,0.0139985706221947,-0.01006319746628
2016-04-30,-0.0907399763493557,-0.099795474343554,0.00406735828346954,0.0178045910789522,0.152353762097455,0.0717926818701767,-0.0681076484599456,-0.0564841660101252,-0.0034915348551008,0.0194336906355137
2016-05-31,-0.114694740738946,0.0800804920931367,0.0326292765977357,0.0388600164660446,0.149877564427366,-0.0990416903268304,-0.120582105571643,-0.0452606863500916,-0.0131516555135118,0.0744302176180766
2016-06-30,-0.10140628313968,-0.127008964691919,-0.010898111010915,0.0403734430618597,0.0430479276325981,-0.0758411873080856,-0.160635486918219,-0.0569845711322913,-0.019336098015532,0.056547975707184
2016-07-31,-0.112653322459603,0.0792524940868181,-0.0499259130700534,0.0357221999195847,0.148069686595181,0.0388932413029049,-0.063226966400934,-0.0577906910755299,-0.0257402723919538,0.0183069012342814
2016-08-31,-0.0953498413373977,-0.143963414767741,0.0114074591185684,0.0368438714922471,-0.0348578231265736,-0.0199767955055938,-0.166184396129899,-0.0790780977536051,-0.0196219063023597,0.0163381371370734
2016-09-30,-0.110369581802651,0.125491430421163,-0.0209391423716618,0.0328366068356735,0.119541731411388,0.0972840690578206,0.0421041870827886,-0.0732355031243882,-0.0128172860642019,0.00927927583351273
2016-10-31,-0.12671255467327,-0.191472697038317,0.0233929839841353,0.0259675198261039,-0.196596890731557,-0.208402236600662,-0.197985486380841,-0.0631280106895814,-0.00360812986765961,0.0302450903224106
2016-11-30,-0.0926500858497229,-0.122529919106845,0.0500352634504337,0.00331092687852764,-0.0665255591701171,-0.0752200763708339,-0.180294545603052,-0.0763588494046684,0.023033113763255,0.0675777255042702
2016-12-31,-0.092141229104408,-0.0642443826199985,0.0488723159878412,0.00761570703510664,-0.0858940705963331,-0.219180357316566,-0.227516606352989,-0.0679794399650818,0.0144557831752633,0.0766539090851686
2017-01-31,-0.0956435783168263,0.0307591936184571,0.0516066381257932,0.0105245625091825,0.126617146998435,0.0948633190589545,0.0556233813830755,-0.0731795988370165,0.0129599493509108,0.080458633322243
2017-02-28,-0.107132975099675,-0.0571125334899033,-0.00600098638941415,0.0158645804490865,-0.00278534946200411,-0.0429215683757004,-0.106543177915646,-0.0751567396390573,0.0181455824589685,0.0716500440891906
2017-03-31,-0.105587530039352,0.0645963491863597,0.0848522901210195,0.0147693163049396,0.100425108270887,-0.00268942216026859,-0.0282571567651386,-0.0746446147788049,-0.00212167522275024,0.069977602933145
2017-04-30,-0.109573418625004,0.10260113783684,0.0900218828336059,0.0138849876464057,0.115803940837066,-0.10411202540794,-0.0382477618321634,-0.106826303416794,0.00754157977157147,0.0748990216719337
