AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: S&P 500
Factor Code: SUEC
Factor Name: Standardized Unexpected Earnings
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Valuation,Dividends to Price Ratio,-0.136491287533134,-18.7242561836229
Valuation,Book to Price,-0.121723159857622,-17.7381648382113
Valuation,EBITDA to Enterprise Value,-0.0887041115687793,-10.3005330960502
Price Momentum,1M Price Reversal,-0.0809399808307729,-6.78297574432155
Earnings Quality,Cash Conversion Cycle,-0.0781489572932234,-11.7336267555116
Price Momentum,1M Price High - 1M Price Low,-0.0705695701166258,-5.96717165332653
Size,Log Market Cap,-0.068799630047221,-10.8596474051647
Volatility,1M Realized Price Volatility,-0.0598583199153308,-5.87469135121019
Volatility,12M Realized Price Volatility,-0.0425974888638898,-4.26600843606396
Price Momentum,5 Day Price Reversal,-0.0383585590620607,-3.09976087722191

Correlation (Factors)
,Valuation,Valuation,Valuation,Price Momentum,Earnings Quality,Price Momentum,Size,Volatility,Volatility,Price Momentum
Date,Dividends to Price Ratio,Book to Price,EBITDA to Enterprise Value,1M Price Reversal,Cash Conversion Cycle,1M Price High - 1M Price Low,Log Market Cap,1M Realized Price Volatility,12M Realized Price Volatility,5 Day Price Reversal
2008-04-30,-0.20380056358456,-0.24120980377814,-0.0435594423049609,-0.2841476582419,0.0105187227347124,-0.285045882980156,-0.108293220843763,-0.117650702314228,-0.154707825668175,-0.0889100486096015
2008-05-31,-0.219735066300823,-0.276173621340401,-0.0503569261772377,-0.133209863809946,0.00393749437490381,-0.185483545519788,-0.125582803682323,-0.143831693308191,-0.116004324819451,-0.16027380524229
2008-06-30,-0.239184861431398,-0.281512303034425,-0.0516464272107693,-0.220363592910604,0.0208448129957297,-0.129702546895101,-0.132121891612637,-0.138446768695801,-0.10929369597027,-0.119396329329769
2008-07-31,-0.18218741606316,-0.247171992175744,-0.103156199686726,-0.213875127012528,-0.0465172576372198,-0.186156180833001,-0.145351952519199,-0.190303657511342,-0.136911752678563,-0.0928518337704603
2008-08-31,-0.175638720928115,-0.192608982488761,-0.037141600900821,-0.105918174877237,-0.0495245457409601,-0.00430245310030151,-0.121403991075954,-0.196259825308795,-0.150842142887266,0.122617868776668
2008-09-30,-0.153429172123856,-0.186715760590809,-0.0392845729535723,-0.00366818289472231,-0.045893559776019,0.0679826257194946,-0.146784723255411,-0.25917861675833,-0.223511311819458,-0.0551983580144446
2008-10-31,-0.161810655096122,-0.261504289216489,-0.0318622026409201,-0.1871747482735,0.000264777029344089,-0.147328088637919,-0.168927934976834,-0.219161900314356,-0.193489126275063,0.066759574863221
2008-11-30,-0.186218569582302,-0.223484455401612,0.0278812573272126,-0.0823309806195716,-0.0305608760348611,-0.00956232898670202,-0.172496718626158,-0.185957610059427,-0.14070708947476,0.142777290527764
2008-12-31,-0.186134673326437,-0.241327694022358,0.0421083587014323,-0.0518968491981431,-0.0159591594131367,-0.030858970086,-0.160010305497335,-0.161505752001867,-0.14515469756846,0.0911279458836459
2009-01-31,-0.207047011654076,-0.25033115357409,0.0808093440276237,-0.179948599064896,-0.015504795424632,-0.132248579832187,-0.128216507804417,-0.166049211215499,-0.174782725422233,-0.151519563954375
2009-02-28,-0.171654579310313,-0.286613354740217,0.0587286594038258,-0.270722434243861,0.0198284855520527,-0.0671067337786651,-0.0945897417719972,-0.310047054671506,-0.247254750143554,-0.030486205708584
2009-03-31,-0.186240038123891,-0.301217219133193,0.112670293587093,0.0301983579332806,0.019445828191503,-0.155794353746133,-0.0926771314154498,-0.293898994932763,-0.259777161468788,-0.175958490008915
2009-04-30,-0.132760856096098,-0.195225169732137,0.0828444053707129,0.00731091890767015,0.0878286178311076,-0.115064461991224,-0.0906602972180379,-0.207347316760248,-0.232023513226137,-0.0894797697016183
2009-05-31,-0.180652937084853,-0.207774483537384,0.070151144109895,-0.019646978639641,0.107696795731372,-0.106119393850145,-0.153469988094341,-0.136764214932748,-0.155111904774221,0.0323184749006072
2009-06-30,-0.182044414718295,-0.187585852663122,0.068519571924663,-0.0707467457047426,0.0916794902923004,-0.107285369187658,-0.143749035013473,-0.126491785355592,-0.164661762415385,-0.0446356842425922
2009-07-31,-0.0836608359933392,-0.211769220174772,0.0189209519636356,-0.232636815575172,0.0088545334356405,-0.063420322672281,-0.116347180054981,-0.143769973264593,-0.164443122556565,-0.0638563539175074
2009-08-31,-0.0498289301229067,-0.177106742139533,-0.0313354593343453,0.036601406113596,-0.075302735295514,0.0224253171172793,-0.085380816765549,-0.114289354982282,-0.127202510439859,0.0213629884523271
2009-09-30,-0.0425592164123603,-0.163074793552889,-0.0417471250042458,0.0144522116631473,-0.0838320647486401,-0.0056900189715512,-0.0739209334553185,-0.0706886366327685,-0.124460817913011,-0.0605345286073915
2009-10-31,-0.0536935716478132,-0.126187363217793,-0.0843617123351172,-0.192260834285503,-0.0831505623190522,-0.17705930587897,-0.101274046662257,-0.0290524281609768,-0.0652996778903602,-0.152413234951237
